Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche SAP,Normalized Power® (NP®),Training Stress Score®,Ø Leistung,Max. Leistung,Schritte,Body Battery Abnahme,Dekompression,Beste Rundenzeit,Anzahl der Runden,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2026-08-22 11:41:12,false,"Graz Laufen","5.52","495","00:41:44","144","154","3.4","143","180","7:33","4:21","21","27","0.97","8.6","8.1","265","7:22","276","0.0","232","404","6,120","'-11","Nein","00:03:24.3","6","00:36:19","00:41:44","361","373"
Laufen,2026-08-17 19:29:42,false,"Graz Laufen","5.42","492","00:38:00","154","169","4.0","142","183","7:01","4:25","17","21","1.05","8.5","8.8","266","6:54","299","0.0","254","428","5,262","'-8","Nein","00:04:32.3","6","00:31:40","00:38:00","363","371"
Laufen,2026-07-17 13:35:09,false,"Graz Laufen","5.79","672","01:00:33","146","180","3.7","101","177","10:28","4:00","25","31","0.95","8.8","8.3","275","10:20","244","0.0","162","391","6,394","'-11","Nein","00:06:53.9","6","00:38:51","01:00:33","364","374"
Laufen,2026-07-11 17:17:32,false,"Graz Laufen","6.32","552","00:46:35","144","163","3.8","131","186","7:22","4:23","26","24","1.06","8.4","8.8","265","7:11","293","0.0","237","422","6,212","'-11","Nein","00:03:08.0","7","00:37:06","00:46:35","363","372"
Laufen,2026-07-07 17:10:43,false,"Graz Laufen","7.00","658","00:55:28","147","158","3.7","136","176","7:55","4:58","35","31","0.99","8.9","8.5","275","7:46","272","0.0","222","376","7,232","'-12","Nein","00:00:06.5","8","00:46:57","00:55:28","363","374"
Laufen,2026-07-03 15:51:32,false,"Graz Laufen","8.52","772","01:02:03","155","180","4.3","136","177","7:17","3:52","82","80","1.02","8.8","8.9","275","7:06","295","0.0","250","494","8,614","'-17","Nein","00:04:55.0","9","00:52:35","01:02:03","363","414"
Laufen,2026-06-23 17:04:37,false,"Graz Laufen","6.41","474","00:39:56","142","156","3.4","162","177","6:14","5:05","28","21","0.99","8.9","8.9","275","6:12","291","0.0","283","367","6,454","'-11","Nein","00:02:37.0","7","00:39:03","00:53:06","366","376"
Laufen,2026-06-20 08:15:38,false,"Graz Laufen","5.30","418","00:40:07","134","150","2.9","134","182","7:34","5:27","8","12","0.90","9.3","8.3","279","7:34","237","0.0","207","331","5,986","'-11","Nein","00:04:25.1","6","00:36:00","00:40:07","365","374"
Laufen,2026-06-17 11:36:48,false,"Fazana Laufen","5.84","435","00:37:59","140","155","3.1","160","177","6:30","5:10","16","13","0.96","9.2","8.9","282","6:24","275","0.0","271","361","6,140","'-12","Nein","00:05:47.8","6","00:37:38","00:37:59","0","15"
Laufen,2026-06-12 11:54:02,false,"Graz Laufen","1.35","107","00:10:10","128","139","2.0","140","169","7:32","5:46","1","12","0.96","9.0","8.6","281","7:23","255","0.0","226","325","1,446","'-2","Nein","00:02:41.0","2","00:09:11","00:10:14","366","379"
Laufen,2026-06-12 08:37:19,false,"Graz Laufen","4.12","291","00:32:46","115","137","2.1","140","173","7:57","5:18","7","8","0.84","9.8","8.2","294","7:51","221","0.0","204","337","5,046","'-8","Nein","00:01:06.4","5","00:31:42","00:32:46","370","377"
Laufen,2026-06-11 15:38:29,false,"Graz Laufen","6.03","429","00:36:20","139","151","3.3","168","182","6:02","4:38","24","19","0.99","8.8","8.7","269","6:00","295","0.0","291","400","6,110","'-9","Nein","00:00:33.4","7","00:36:06","00:36:20","365","375"
Laufen,2026-06-06 15:18:56,false,"Graz Laufen","0.30","24","00:01:51.8","148","167","0.8","142","220","6:13","2:43","--","--","1.10","8.1","8.3","254","5:51","295","0.0","257","598","296","--","Nein","00:01:51.8","1","00:01:46","00:01:54.1","363","364"
Laufen,2026-06-05 07:08:53,false,"Graz Laufen","10.27","752","01:04:00","142","151","3.7","164","177","6:14","4:29","29","34","0.98","9.0","8.8","276","6:12","288","0.0","284","410","10,512","'-20","Nein","00:02:17.2","11","01:03:31","01:04:00","364","373"
Laufen,2026-05-29 19:49:01,false,"Graz Laufen","6.02","443","00:33:26","155","164","3.8","165","186","5:33","4:02","23","19","1.09","8.5","9.3","269","5:30","324","0.0","321","449","5,516","'-7","Nein","00:00:09.4","7","00:33:16","00:33:31","366","374"
Laufen,2026-05-14 15:03:38,false,"Graz Laufen","7.34","526","00:45:43","137","149","3.3","164","173","6:14","4:47","27","30","0.98","9.0","8.8","276","6:11","291","0.0","287","402","7,506","'-11","Nein","00:02:32.8","8","00:45:25","00:45:43","361","372"
Laufen,2026-05-07 18:50:55,false,"Graz Laufen","5.03","345","00:23:40","169","180","4.1","172","185","4:42","3:57","15","34","1.24","7.6","9.4","245","4:42","377","0.0","371","511","4,060","'-8","Nein","00:00:18.6","6","00:23:37","00:23:40","362","386"
Laufen,2026-05-03 17:06:44,false,"Graz Laufen","6.02","447","00:35:30","147","158","3.6","165","178","5:54","4:50","24","21","1.03","8.8","9.1","274","5:51","310","0.0","307","391","5,850","'-11","Nein","00:00:08.4","7","00:35:24","00:35:30","363","370"
Laufen,2026-04-26 18:37:07,false,"Graz Laufen","5.61","396","00:34:38","145","153","3.4","161","205","6:11","4:31","17","26","1.00","9.0","9.0","276","6:06","282","0.0","275","372","5,600","'-8","Nein","00:04:13.9","6","00:34:02","00:34:38","363","374"
